point,city,date-time,temperature,humidity
108,seoul,2022.10.1 0:00,18.5,77
108,seoul,2022.10.1 1:00,17.7,79
108,seoul,2022.10.1 2:00,17.2,79
108,seoul,2022.10.1 3:00,16.4,82
108,seoul,2022.10.1 4:00,16.1,81
108,seoul,2022.10.1 5:00,15.3,85
108,seoul,2022.10.1 6:00,14.9,86
108,seoul,2022.10.1 7:00,14.4,88
108,seoul,2022.10.1 8:00,15.9,86
108,seoul,2022.10.1 9:00,18.5,75
108,seoul,2022.10.1 10:00,20.7,69
108,seoul,2022.10.1 11:00,23.1,58
108,seoul,2022.10.1 12:00,25,50
108,seoul,2022.10.1 13:00,26.6,39
108,seoul,2022.10.1 14:00,27.5,35
108,seoul,2022.10.1 15:00,27.1,35
108,seoul,2022.10.1 16:00,26.2,36
108,seoul,2022.10.1 17:00,25.1,49
108,seoul,2022.10.1 18:00,24.1,50
108,seoul,2022.10.1 19:00,22.9,53
108,seoul,2022.10.1 20:00,22.2,58
108,seoul,2022.10.1 21:00,21.7,60
108,seoul,2022.10.1 22:00,21,64
108,seoul,2022.10.1 23:00,20.8,64
108,seoul,2022.10.2 0:00,19.6,68
108,seoul,2022.10.2 1:00,19,72
108,seoul,2022.10.2 2:00,18.8,75
108,seoul,2022.10.2 3:00,19.2,74
108,seoul,2022.10.2 4:00,19.4,72
108,seoul,2022.10.2 5:00,19.5,72
108,seoul,2022.10.2 6:00,19.5,72
108,seoul,2022.10.2 7:00,19.2,79
108,seoul,2022.10.2 8:00,18.9,79
108,seoul,2022.10.2 9:00,19.2,81
108,seoul,2022.10.2 10:00,20,75
108,seoul,2022.10.2 11:00,20.5,71
108,seoul,2022.10.2 12:00,20.9,69
108,seoul,2022.10.2 13:00,21.4,69
108,seoul,2022.10.2 14:00,21.3,67
108,seoul,2022.10.2 15:00,21.1,67
108,seoul,2022.10.2 16:00,21.4,64
108,seoul,2022.10.2 17:00,21.4,62
108,seoul,2022.10.2 18:00,19.8,79
108,seoul,2022.10.2 19:00,18.5,91
108,seoul,2022.10.2 20:00,17.9,89
108,seoul,2022.10.2 21:00,17.7,92
108,seoul,2022.10.2 22:00,17.4,95
108,seoul,2022.10.2 23:00,17.3,97
108,seoul,2022.10.3 0:00,17.5,97
108,seoul,2022.10.3 1:00,17.7,99
108,seoul,2022.10.3 2:00,17.9,96
108,seoul,2022.10.3 3:00,18,99
108,seoul,2022.10.3 4:00,18.2,99
108,seoul,2022.10.3 5:00,18.4,100
108,seoul,2022.10.3 6:00,18.6,100
108,seoul,2022.10.3 7:00,18.9,99
108,seoul,2022.10.3 8:00,19.2,99
108,seoul,2022.10.3 9:00,19.6,99
108,seoul,2022.10.3 10:00,20.1,99
108,seoul,2022.10.3 11:00,20.6,100
108,seoul,2022.10.3 12:00,22.3,100
108,seoul,2022.10.3 13:00,22.6,100
108,seoul,2022.10.3 14:00,22.9,99
108,seoul,2022.10.3 15:00,22.9,99
108,seoul,2022.10.3 16:00,23,97
108,seoul,2022.10.3 17:00,23.2,97
108,seoul,2022.10.3 18:00,23.2,96
108,seoul,2022.10.3 19:00,23.3,96
108,seoul,2022.10.3 20:00,23.3,97
108,seoul,2022.10.3 21:00,23.2,95
108,seoul,2022.10.3 22:00,23.1,96
108,seoul,2022.10.3 23:00,22.8,99
108,seoul,2022.10.4 0:00,23,100
108,seoul,2022.10.4 1:00,22.4,99
108,seoul,2022.10.4 2:00,21.8,98
108,seoul,2022.10.4 3:00,21.3,96
108,seoul,2022.10.4 4:00,20.5,96
108,seoul,2022.10.4 5:00,20.2,96
108,seoul,2022.10.4 6:00,19.7,97
108,seoul,2022.10.4 7:00,18.4,96
108,seoul,2022.10.4 8:00,17.3,96
108,seoul,2022.10.4 9:00,17.1,93
108,seoul,2022.10.4 10:00,17.1,88
108,seoul,2022.10.4 11:00,17.4,86
108,seoul,2022.10.4 12:00,18.3,81
108,seoul,2022.10.4 13:00,18.8,80
108,seoul,2022.10.4 14:00,19.1,77
108,seoul,2022.10.4 15:00,19.1,76
108,seoul,2022.10.4 16:00,18.9,73
108,seoul,2022.10.4 17:00,18.2,72
108,seoul,2022.10.4 18:00,17.4,85
108,seoul,2022.10.4 19:00,16.9,74
108,seoul,2022.10.4 20:00,16.4,69
108,seoul,2022.10.4 21:00,15.7,69
108,seoul,2022.10.4 22:00,15,69
108,seoul,2022.10.4 23:00,14.4,70
108,seoul,2022.10.5 0:00,14.2,73
108,seoul,2022.10.5 1:00,14.1,74
108,seoul,2022.10.5 2:00,14.1,78
108,seoul,2022.10.5 3:00,14.5,86
108,seoul,2022.10.5 4:00,14.4,91
108,seoul,2022.10.5 5:00,14.2,92
108,seoul,2022.10.5 6:00,14.2,91
108,seoul,2022.10.5 7:00,14.3,90
108,seoul,2022.10.5 8:00,14.7,85
108,seoul,2022.10.5 9:00,15.4,82
108,seoul,2022.10.5 10:00,16.9,71
108,seoul,2022.10.5 11:00,18.5,65
108,seoul,2022.10.5 12:00,18.9,63
108,seoul,2022.10.5 13:00,20.7,58
108,seoul,2022.10.5 14:00,20.2,58
108,seoul,2022.10.5 15:00,21.3,55
108,seoul,2022.10.5 16:00,20.6,53
108,seoul,2022.10.5 17:00,19.3,59
108,seoul,2022.10.5 18:00,17.7,65
108,seoul,2022.10.5 19:00,17.1,69
108,seoul,2022.10.5 20:00,16.7,74
108,seoul,2022.10.5 21:00,15.9,76
108,seoul,2022.10.5 22:00,15.2,80
108,seoul,2022.10.5 23:00,14.9,79
108,seoul,2022.10.6 0:00,14.6,80
108,seoul,2022.10.6 1:00,14.4,81
108,seoul,2022.10.6 2:00,14.2,81
108,seoul,2022.10.6 3:00,14.1,82
108,seoul,2022.10.6 4:00,13.8,82
108,seoul,2022.10.6 5:00,13.4,84
108,seoul,2022.10.6 6:00,13.1,83
108,seoul,2022.10.6 7:00,12.8,84
108,seoul,2022.10.6 8:00,13.2,84
108,seoul,2022.10.6 9:00,14.9,79
108,seoul,2022.10.6 10:00,15.6,77
108,seoul,2022.10.6 11:00,17.2,71
108,seoul,2022.10.6 12:00,17.9,67
108,seoul,2022.10.6 13:00,18.4,67
108,seoul,2022.10.6 14:00,18.7,65
108,seoul,2022.10.6 15:00,18.7,66
108,seoul,2022.10.6 16:00,18.3,67
108,seoul,2022.10.6 17:00,17.6,72
108,seoul,2022.10.6 18:00,17.1,76
108,seoul,2022.10.6 19:00,16.4,78
108,seoul,2022.10.6 20:00,16,77
108,seoul,2022.10.6 21:00,15.6,81
108,seoul,2022.10.6 22:00,15.3,81
108,seoul,2022.10.6 23:00,15,79
108,seoul,2022.10.7 0:00,14.8,79
108,seoul,2022.10.7 1:00,14.6,84
108,seoul,2022.10.7 2:00,14.1,85
108,seoul,2022.10.7 3:00,13.4,85
108,seoul,2022.10.7 4:00,12.5,86
108,seoul,2022.10.7 5:00,11.9,85
108,seoul,2022.10.7 6:00,11.5,84
108,seoul,2022.10.7 7:00,11,86
108,seoul,2022.10.7 8:00,11.5,84
108,seoul,2022.10.7 9:00,12.5,78
108,seoul,2022.10.7 10:00,14.2,74
108,seoul,2022.10.7 11:00,15.2,68
108,seoul,2022.10.7 12:00,16.2,67
108,seoul,2022.10.7 13:00,16.9,66
108,seoul,2022.10.7 14:00,17.3,62
108,seoul,2022.10.7 15:00,18.3,58
108,seoul,2022.10.7 16:00,18.2,58
108,seoul,2022.10.7 17:00,18.3,56
108,seoul,2022.10.7 18:00,16.7,62
108,seoul,2022.10.7 19:00,15.5,52
108,seoul,2022.10.7 20:00,15,50
108,seoul,2022.10.7 21:00,14.1,54
108,seoul,2022.10.7 22:00,13.1,64
108,seoul,2022.10.7 23:00,12.3,63
108,seoul,2022.10.8 0:00,12,68
108,seoul,2022.10.8 1:00,12,74
108,seoul,2022.10.8 2:00,12,77
108,seoul,2022.10.8 3:00,11.9,78
108,seoul,2022.10.8 4:00,11.7,80
108,seoul,2022.10.8 5:00,11.4,80
108,seoul,2022.10.8 6:00,11.2,82
108,seoul,2022.10.8 7:00,11.2,81
108,seoul,2022.10.8 8:00,12.4,79
108,seoul,2022.10.8 9:00,14.6,70
108,seoul,2022.10.8 10:00,16.3,65
108,seoul,2022.10.8 11:00,17.8,59
108,seoul,2022.10.8 12:00,18.9,55
108,seoul,2022.10.8 13:00,18.7,55
108,seoul,2022.10.8 14:00,20.5,47
108,seoul,2022.10.8 15:00,21.4,43
108,seoul,2022.10.8 16:00,20.9,46
108,seoul,2022.10.8 17:00,19.6,50
108,seoul,2022.10.8 18:00,18.7,50
108,seoul,2022.10.8 19:00,17.2,56
108,seoul,2022.10.8 20:00,16,63
108,seoul,2022.10.8 21:00,15.4,65
108,seoul,2022.10.8 22:00,15.1,69
108,seoul,2022.10.8 23:00,14.6,72
108,seoul,2022.10.9 0:00,14.3,74
108,seoul,2022.10.9 1:00,14.3,73
108,seoul,2022.10.9 2:00,14.4,71
108,seoul,2022.10.9 3:00,14.3,70
108,seoul,2022.10.9 4:00,13.9,72
108,seoul,2022.10.9 5:00,14.1,72
108,seoul,2022.10.9 6:00,14,72
108,seoul,2022.10.9 7:00,14,71
108,seoul,2022.10.9 8:00,14,71
108,seoul,2022.10.9 9:00,14,76
108,seoul,2022.10.9 10:00,14.2,76
108,seoul,2022.10.9 11:00,14,82
108,seoul,2022.10.9 12:00,13.7,89
108,seoul,2022.10.9 13:00,13.8,90
108,seoul,2022.10.9 14:00,13.6,93
108,seoul,2022.10.9 15:00,13.6,95
108,seoul,2022.10.9 16:00,13.6,96
108,seoul,2022.10.9 17:00,13.6,95
108,seoul,2022.10.9 18:00,13.5,97
108,seoul,2022.10.9 19:00,13,96
108,seoul,2022.10.9 20:00,11.1,94
108,seoul,2022.10.9 21:00,11,94
108,seoul,2022.10.9 22:00,10.8,93
108,seoul,2022.10.9 23:00,10.9,91
108,seoul,2022.10.10 0:00,10.9,93
108,seoul,2022.10.10 1:00,10.9,89
108,seoul,2022.10.10 2:00,10.6,86
108,seoul,2022.10.10 3:00,10.2,85
108,seoul,2022.10.10 4:00,10.1,78
108,seoul,2022.10.10 5:00,10.1,77
108,seoul,2022.10.10 6:00,9.9,77
108,seoul,2022.10.10 7:00,9.4,74
108,seoul,2022.10.10 8:00,9.3,73
108,seoul,2022.10.10 9:00,9.7,70
108,seoul,2022.10.10 10:00,10.1,67
108,seoul,2022.10.10 11:00,11,63
108,seoul,2022.10.10 12:00,11.3,63
108,seoul,2022.10.10 13:00,10.6,73
108,seoul,2022.10.10 14:00,11.3,64
108,seoul,2022.10.10 15:00,11.7,65
108,seoul,2022.10.10 16:00,9.9,79
108,seoul,2022.10.10 17:00,10.2,70
108,seoul,2022.10.10 18:00,9.4,71
108,seoul,2022.10.10 19:00,8.7,73
108,seoul,2022.10.10 20:00,8.4,73
108,seoul,2022.10.10 21:00,8.2,78
108,seoul,2022.10.10 22:00,8.4,77
108,seoul,2022.10.10 23:00,8.5,79
108,seoul,2022.10.11 0:00,8.5,74
108,seoul,2022.10.11 1:00,7.9,76
108,seoul,2022.10.11 2:00,7.6,79
108,seoul,2022.10.11 3:00,7.4,80
108,seoul,2022.10.11 4:00,7.6,80
108,seoul,2022.10.11 5:00,7.8,79
108,seoul,2022.10.11 6:00,7.8,79
108,seoul,2022.10.11 7:00,7.6,82
108,seoul,2022.10.11 8:00,7.7,82
108,seoul,2022.10.11 9:00,9,76
108,seoul,2022.10.11 10:00,10.7,70
108,seoul,2022.10.11 11:00,12.3,66
108,seoul,2022.10.11 12:00,13.2,61
108,seoul,2022.10.11 13:00,15,58
108,seoul,2022.10.11 14:00,15.5,57
108,seoul,2022.10.11 15:00,16.3,54
108,seoul,2022.10.11 16:00,16.1,53
108,seoul,2022.10.11 17:00,15.9,53
108,seoul,2022.10.11 18:00,14.4,54
108,seoul,2022.10.11 19:00,13.3,57
108,seoul,2022.10.11 20:00,12.2,67
108,seoul,2022.10.11 21:00,11.5,72
108,seoul,2022.10.11 22:00,10.7,68
108,seoul,2022.10.11 23:00,10,72
108,seoul,2022.10.12 0:00,9.5,77
108,seoul,2022.10.12 1:00,9,80
108,seoul,2022.10.12 2:00,8.5,80
108,seoul,2022.10.12 3:00,8,81
108,seoul,2022.10.12 4:00,7.7,85
108,seoul,2022.10.12 5:00,7.5,88
108,seoul,2022.10.12 6:00,6.8,89
108,seoul,2022.10.12 7:00,6.6,91
108,seoul,2022.10.12 8:00,7.9,92
108,seoul,2022.10.12 9:00,10.8,79
108,seoul,2022.10.12 10:00,13,70
108,seoul,2022.10.12 11:00,15.3,60
108,seoul,2022.10.12 12:00,16.5,53
108,seoul,2022.10.12 13:00,18.5,51
108,seoul,2022.10.12 14:00,19.6,48
108,seoul,2022.10.12 15:00,20.4,45
108,seoul,2022.10.12 16:00,20.5,45
108,seoul,2022.10.12 17:00,20,47
108,seoul,2022.10.12 18:00,18.4,51
108,seoul,2022.10.12 19:00,16.5,64
108,seoul,2022.10.12 20:00,15.6,65
108,seoul,2022.10.12 21:00,14.6,69
108,seoul,2022.10.12 22:00,13.9,71
108,seoul,2022.10.12 23:00,13.3,74
108,seoul,2022.10.13 0:00,12.7,78
108,seoul,2022.10.13 1:00,12.1,81
108,seoul,2022.10.13 2:00,11.8,82
108,seoul,2022.10.13 3:00,11.4,85
108,seoul,2022.10.13 4:00,11.2,85
108,seoul,2022.10.13 5:00,11.1,88
108,seoul,2022.10.13 6:00,10.8,88
108,seoul,2022.10.13 7:00,10.8,90
108,seoul,2022.10.13 8:00,11.7,88
108,seoul,2022.10.13 9:00,14.6,78
108,seoul,2022.10.13 10:00,17,68
108,seoul,2022.10.13 11:00,19.3,58
108,seoul,2022.10.13 12:00,20.8,51
108,seoul,2022.10.13 13:00,21.3,46
108,seoul,2022.10.13 14:00,22,45
108,seoul,2022.10.13 15:00,22.4,43
108,seoul,2022.10.13 16:00,22.5,46
108,seoul,2022.10.13 17:00,21.8,46
108,seoul,2022.10.13 18:00,20.2,57
108,seoul,2022.10.13 19:00,18.2,66
108,seoul,2022.10.13 20:00,17.2,70
108,seoul,2022.10.13 21:00,16,74
108,seoul,2022.10.13 22:00,15.3,76
108,seoul,2022.10.13 23:00,14.7,80
108,seoul,2022.10.14 0:00,14.2,81
108,seoul,2022.10.14 1:00,13.7,85
108,seoul,2022.10.14 2:00,13,86
108,seoul,2022.10.14 3:00,12.7,89
108,seoul,2022.10.14 4:00,12.6,88
108,seoul,2022.10.14 5:00,12.6,88
108,seoul,2022.10.14 6:00,12.6,91
108,seoul,2022.10.14 7:00,12.7,88
108,seoul,2022.10.14 8:00,13.4,89
108,seoul,2022.10.14 9:00,14.6,84
108,seoul,2022.10.14 10:00,16.1,77
108,seoul,2022.10.14 11:00,18,68
108,seoul,2022.10.14 12:00,19.5,64
108,seoul,2022.10.14 13:00,20.5,60
108,seoul,2022.10.14 14:00,21.9,53
108,seoul,2022.10.14 15:00,23,52
108,seoul,2022.10.14 16:00,22.7,51
108,seoul,2022.10.14 17:00,21.7,56
108,seoul,2022.10.14 18:00,20,61
108,seoul,2022.10.14 19:00,18.9,65
108,seoul,2022.10.14 20:00,18,73
108,seoul,2022.10.14 21:00,17.7,71
108,seoul,2022.10.14 22:00,17.5,71
108,seoul,2022.10.14 23:00,17.1,74
108,seoul,2022.10.15 0:00,16.5,75
108,seoul,2022.10.15 1:00,16,79
108,seoul,2022.10.15 2:00,15.5,82
108,seoul,2022.10.15 3:00,14.6,87
108,seoul,2022.10.15 4:00,14.1,86
108,seoul,2022.10.15 5:00,13.7,88
108,seoul,2022.10.15 6:00,13.1,89
108,seoul,2022.10.15 7:00,12.6,89
108,seoul,2022.10.15 8:00,13.3,91
108,seoul,2022.10.15 9:00,15.9,81
108,seoul,2022.10.15 10:00,17.4,76
108,seoul,2022.10.15 11:00,19.7,67
108,seoul,2022.10.15 12:00,21.7,55
108,seoul,2022.10.15 13:00,22.6,45
108,seoul,2022.10.15 14:00,23.9,45
108,seoul,2022.10.15 15:00,24.1,43
108,seoul,2022.10.15 16:00,22.8,47
108,seoul,2022.10.15 17:00,21.7,50
108,seoul,2022.10.15 18:00,20.3,55
108,seoul,2022.10.15 19:00,19.5,58
108,seoul,2022.10.15 20:00,18.9,63
108,seoul,2022.10.15 21:00,18.4,67
108,seoul,2022.10.15 22:00,18.1,69
108,seoul,2022.10.15 23:00,17.7,71
108,seoul,2022.10.16 0:00,17.5,71
108,seoul,2022.10.16 1:00,16.9,73
108,seoul,2022.10.16 2:00,16.1,75
108,seoul,2022.10.16 3:00,15.6,75
108,seoul,2022.10.16 4:00,15.4,77
108,seoul,2022.10.16 5:00,15.4,79
108,seoul,2022.10.16 6:00,15.3,79
108,seoul,2022.10.16 7:00,15.3,79
108,seoul,2022.10.16 8:00,15.5,80
108,seoul,2022.10.16 9:00,16.5,77
108,seoul,2022.10.16 10:00,17.5,74
108,seoul,2022.10.16 11:00,19.1,70
108,seoul,2022.10.16 12:00,20.3,66
